,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,wm_cond_tick_avg,wm_cond_tick_std,cond_tick_avg,cond_tick_std,cost_avg,cost_std,step_avg,step_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,10,500,50,50.0,5,25000.0,22427.877,12514.209,OBTEA,226.104,482.321,393.348,915.23,2581.188,5635.137,909.768,2121.53,82.705,64.161,3.527,2.076,75.822,160.656,2.43283,5.09943,4865.66153
1,10,500,50,50.0,5,25000.0,22427.877,12514.209,Baseline,250.694,351.381,306.653,847.463,0.0,0.0,1436.642,4042.081,165.935,119.651,3.321,2.106,79.464,109.247,0.51949,0.9819,1038.98435
