,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,wm_cond_tick_avg,wm_cond_tick_std,cond_tick_avg,cond_tick_std,cost_avg,cost_std,step_avg,step_std,expand_num_avg,expand_num_std,for_num_avg,for_num_std,plan_time_avg,plan_time_std,plan_time_total
0,10,500,50,50.0,0,25000.0,22468.606,12508.215,OBTEA,138.869,375.184,256.952,718.832,1779.607,6131.406,632.341,1979.175,137.008,105.888,3.375,2.009,46.787,124.961,46.79,124.96,1.53986,4.42153,3079.72499
1,10,500,50,50.0,0,25000.0,22468.606,12508.215,Baseline,150.773,271.038,212.982,452.205,0.0,0.0,950.391,2086.918,164.186,116.935,3.376,2.147,45.514,78.291,16.24,37.74,0.57663,1.41181,1153.26951
