,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,10,10,10,150,123.995,1041.123,OBTEA,40.923,136.726,16.315,11.098,0.896,0.305,402.721,80.239,14.345,42.513,0.01923,0.0637,38.46483
1,10,10,10,150,123.995,1041.123,Baseline,1242.403,464.158,53.562,80.128,40.276,32.899,414.537,154.456,0.896,0.305,0.00565,0.07639,11.30654
2,20,10,10,100,89.297,1265.259,OBTEA,47.8,186.404,16.679,12.148,0.907,0.304,507.45,105.987,16.25,55.836,0.03256,0.13831,65.12608
3,20,10,10,100,89.297,1265.259,Baseline,1577.671,572.464,83.062,138.667,41.907,32.073,526.288,190.547,0.904,0.298,0.0049,0.06794,9.79571
