,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,ticks_avg,wm_cond_ticks,cond_tick_avg,cost_avg,step_avg,expand_num_avg,plan_time_avg,plan_time_total
0,10,100,50,50.0,5,5000.0,4501.615,2531.486,OBTEA,0.0,409.349,2848.044,971.793,85.078,3.476,84.902,0.5122,1024.4055
1,10,100,50,50.0,5,5000.0,4501.615,2531.486,Baseline,254.321,318.881,0.0,1584.397,169.383,3.311,80.446,0.11533,230.66654
