,depth,obj_num,iters,act_pred_num,literals_num,act_avg,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,step_avg,step_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,10,100,100,110.0,100,506.46,OBTEA,52.91,33.464,199.9,134.183,337.43,170.297,6.65,3.02,13.33,8.193,12.19,7.397,0.02408,0.01429,4.81638
1,10,100,100,110.0,100,506.46,Baseline,56.38,45.184,263.39,229.826,340.05,169.823,6.67,3.022,15.92,12.81,10.62,7.102,0.02366,0.015,4.73163
2,10,100,500,510.0,100,510.1,OBTEA,54.98,25.026,200.22,111.842,334.09,154.095,6.73,2.788,13.42,5.369,12.57,5.284,0.02579,0.01238,5.15774
3,10,100,500,510.0,100,510.1,Baseline,56.42,29.923,268.28,192.53,337.92,152.429,6.77,2.77,15.94,8.273,10.6,5.494,0.02436,0.01362,4.8715
4,10,100,1000,1010.0,100,506.11,OBTEA,51.24,27.88,190.05,116.556,321.02,166.461,6.43,2.9,12.82,6.18,11.81,5.927,0.02279,0.01078,4.55754
5,10,100,1000,1010.0,100,506.11,Baseline,52.93,37.801,248.04,222.79,322.55,164.672,6.44,2.893,14.98,10.707,9.99,5.959,0.02188,0.01152,4.37541
