,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,5,10,10,5,14.781,60.119,OBTEA,25.78,30.894,18.811,16.876,9.425,14.473,30.48,12.81,9.317,10.209,0.0013,0.00167,2.60483
1,5,10,10,5,14.781,60.119,Baseline,89.858,65.106,33.07,45.783,47.952,36.468,30.287,21.421,1.075,0.761,0.00058,0.00458,1.16435
2,5,10,10,10,19.195,79.746,OBTEA,28.904,34.78,19.522,16.07,6.934,12.431,37.876,13.468,10.268,11.275,0.00165,0.00201,3.29303
3,5,10,10,10,19.195,79.746,Baseline,112.457,65.239,33.882,47.821,47.579,37.972,37.831,21.506,1.045,0.617,0.00049,0.00166,0.9739
4,5,10,10,100,89.619,440.283,OBTEA,33.963,74.456,16.951,15.316,1.018,2.415,165.437,35.144,11.954,23.128,0.00698,0.01422,13.95314
5,5,10,10,100,89.619,440.283,Baseline,511.59,184.792,38.436,49.999,38.87,31.991,170.924,61.395,0.91,0.293,0.00202,0.02795,4.04911
6,5,10,10,300,215.757,1239.484,OBTEA,33.12,97.075,16.858,13.042,0.896,0.305,456.406,100.331,11.917,29.666,0.01697,0.04293,33.94089
7,5,10,10,300,215.757,1239.484,Baseline,1415.242,528.681,36.966,46.202,42.214,33.781,472.15,175.953,0.896,0.305,0.00476,0.06715,9.52267
8,10,10,10,175,140.541,1202.739,OBTEA,37.43,119.233,16.955,12.277,0.908,0.289,467.967,90.026,13.139,35.371,0.02178,0.08039,43.56444
9,10,10,10,175,140.541,1202.739,Baseline,1453.471,513.96,55.59,93.133,40.666,31.941,484.885,171.061,0.908,0.289,0.00471,0.06801,9.41596
10,20,10,10,105,92.877,1319.982,OBTEA,56.198,219.836,17.857,14.787,0.931,0.398,531.813,106.506,18.79,65.109,0.04091,0.16146,81.82922
11,20,10,10,105,92.877,1319.982,Baseline,1665.347,567.222,83.411,126.219,42.292,32.202,555.505,188.815,0.916,0.277,0.00514,0.0702,10.27219
