,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,ticks_avg,wm_cond_ticks,cond_tick_avg,cost_avg,step_avg,expand_num_avg,plan_time_avg,plan_time_total
0,10,100,30,10.0,5,2984.408,501.032,530.427,OBTEA,0.0,254.293,1005.143,358.191,81.124,3.376,40.222,0.03837,76.73045
1,10,100,30,10.0,5,2984.408,501.032,530.427,Baseline,136.216,194.605,0.0,597.145,170.94,3.335,43.98,0.01037,20.73758
