,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,5,100,10,5,15.99,59.15,OBTEA,113.77,125.846,425.88,596.185,121.82,84.872,58.92,44.217,37.94,41.707,0.01345,0.01669,2.69051
1,5,100,10,5,15.99,59.15,Baseline,238.84,272.075,355.96,447.702,290.56,184.734,76.21,86.102,12.21,13.036,0.01391,0.02135,2.78175
2,5,100,10,10,20.99,80.02,OBTEA,100.07,111.853,316.02,385.532,80.44,84.212,72.47,59.371,33.61,37.015,0.01388,0.01663,2.7766
3,5,100,10,10,20.99,80.02,Baseline,302.73,291.194,435.05,643.403,214.42,166.321,97.42,93.15,12.47,11.711,0.02045,0.02438,4.09025
4,5,100,10,100,110.92,442.49,OBTEA,254.52,373.524,242.62,389.569,7.74,15.864,434.29,482.555,73.85,104.472,0.14472,0.24664,28.94305
5,5,100,10,100,110.92,442.49,Baseline,1297.71,2129.852,898.66,2029.721,74.85,79.099,428.59,697.943,13.94,26.673,0.15962,0.42788,31.92336
6,5,100,10,300,310.64,1237.25,OBTEA,166.39,211.268,130.7,141.1,2.25,4.457,507.85,462.918,51.13,55.323,0.26191,0.33252,52.38154
7,5,100,10,300,310.64,1237.25,Baseline,1186.42,1454.871,678.91,999.143,33.77,46.487,394.63,480.53,4.53,6.488,0.11359,0.30556,22.71848
8,10,100,10,175,185.82,1202.02,OBTEA,240.53,374.259,135.13,162.988,3.03,5.564,715.07,681.911,67.65,91.026,0.32674,0.47665,65.34892
9,10,100,10,175,185.82,1202.02,Baseline,1406.85,1600.226,827.53,1351.746,46.75,52.348,467.98,528.962,4.91,5.726,0.10861,0.23792,21.7218
10,20,100,10,100,110.88,1274.82,OBTEA,434.14,1554.239,196.44,219.106,3.65,5.616,1118.18,981.499,112.6,343.09,0.71546,2.81868,143.09115
11,20,100,10,100,110.88,1274.82,Baseline,2530.27,3159.545,1494.34,2388.172,63.59,54.352,841.21,1043.561,8.64,14.341,0.23645,0.54111,47.28977
