,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,5,100,10,100,110.89,438.7,OBTEA,277.63,425.024,255.26,715.503,3.41,4.601,404.14,522.506,62.44,92.994,0.1281,0.24969,25.62025
1,5,100,10,100,110.89,438.7,Baseline,1004.54,1580.159,684.57,1321.701,43.84,54.156,331.71,517.563,11.41,20.837,0.10694,0.2813,21.38754
2,5,200,10,100,110.99,441.11,OBTEA,561.39,1555.756,751.84,3105.485,15.67,34.364,722.62,1676.586,122.68,335.835,0.57444,2.83469,114.88804
3,5,200,10,100,110.99,441.11,Baseline,1712.43,3716.805,1490.59,3856.184,93.06,104.284,561.28,1205.791,30.59,82.185,0.34789,1.09122,69.57844
4,5,300,10,100,111.0,438.59,OBTEA,680.47,951.558,929.77,1903.301,46.05,68.177,598.05,499.615,147.97,207.137,0.57913,0.83342,115.82698
5,5,300,10,100,111.0,438.59,Baseline,1495.06,1949.234,1735.28,3201.282,159.5,168.025,488.2,632.637,32.46,48.046,0.41098,0.64683,82.19558
