,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,5,100,10,5,16.0,60.37,OBTEA,192.37,464.13,340.04,765.017,55.32,45.264,176.61,259.423,62.62,151.451,0.03581,0.11776,7.16143
1,5,100,10,5,16.0,60.37,Baseline,1336.0,3986.159,1297.8,4679.956,139.03,84.927,424.92,1238.488,63.25,263.798,0.60292,4.51587,120.58452
2,5,100,10,10,20.98,80.43,OBTEA,118.96,147.901,177.61,221.207,39.59,28.301,162.09,163.548,38.28,43.65,0.02025,0.02667,4.04922
3,5,100,10,10,20.98,80.43,Baseline,641.19,990.364,497.71,896.546,121.75,67.926,209.23,319.635,15.5,27.371,0.05866,0.11637,11.73121
4,5,100,10,100,110.9,441.92,OBTEA,212.75,404.268,127.54,135.13,9.1,15.028,295.15,197.925,62.63,99.758,0.15905,0.35408,31.81017
5,5,100,10,100,110.9,441.92,Baseline,765.56,977.665,500.27,935.306,74.46,55.548,254.64,322.528,3.64,5.458,0.08211,0.40274,16.42153
6,5,100,10,300,310.65,1240.19,OBTEA,239.26,376.54,126.24,153.742,5.76,11.64,466.69,277.37,68.67,91.922,0.47715,0.70506,95.4308
7,5,100,10,300,310.65,1240.19,Baseline,999.94,780.239,386.3,559.575,57.0,52.333,333.38,258.345,1.8,1.4,0.03552,0.09447,7.10486
8,10,100,10,175,185.7,1197.48,OBTEA,297.55,383.537,163.99,222.833,8.3,15.154,534.91,327.541,86.86,103.87,0.61265,0.83835,122.53019
9,10,100,10,175,185.7,1197.48,Baseline,1384.65,1532.65,694.61,1392.038,69.22,56.113,461.38,507.365,2.52,2.961,0.09119,0.26431,18.23716
10,20,100,10,100,110.92,1275.44,OBTEA,235.21,411.09,145.21,208.209,5.87,9.232,733.25,496.723,70.15,103.307,0.68617,1.32931,137.23381
11,20,100,10,100,110.92,1275.44,Baseline,1703.22,2145.235,876.11,2092.965,74.93,52.035,567.48,710.116,2.78,4.244,0.1523,0.72862,30.45985
