,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,5,10,10,5,14.65,59.93,OBTEA,28.89,31.178,24.61,27.037,10.46,14.058,26.56,12.46,10.7,10.736,0.0015,0.00165,0.29918
1,5,10,10,5,14.65,59.93,Baseline,87.83,71.542,39.67,50.777,56.96,46.799,29.49,23.292,1.46,1.307,0.00092,0.00267,0.18404
2,5,10,10,10,19.19,80.25,OBTEA,23.55,31.72,16.42,11.231,5.23,11.451,29.56,12.671,8.41,9.794,0.00128,0.00173,0.25606
3,5,10,10,10,19.19,80.25,Baseline,85.23,49.555,29.91,31.374,43.42,38.856,28.75,16.214,1.08,0.643,0.00036,0.00073,0.07202
4,5,10,10,100,89.7,439.72,OBTEA,44.05,80.907,15.93,10.589,0.94,0.278,107.36,34.499,14.87,25.7,0.00687,0.01154,1.37452
5,5,10,10,100,89.7,439.72,Baseline,346.41,150.44,43.18,51.709,31.96,34.278,115.85,49.788,0.93,0.255,0.00085,0.00046,0.17004
6,5,10,10,300,216.67,1236.97,OBTEA,33.2,99.028,16.4,10.348,0.91,0.288,282.56,95.147,11.86,31.036,0.01759,0.05494,3.51813
7,5,10,10,300,216.67,1236.97,Baseline,868.82,385.782,45.68,54.55,25.99,29.801,290.0,127.814,0.91,0.286,0.00204,0.00078,0.40711
8,10,10,10,180,143.11,1229.87,OBTEA,45.76,144.515,16.47,11.91,0.93,0.256,302.4,101.193,15.99,45.809,0.02193,0.07299,4.38653
9,10,10,10,180,143.11,1229.87,Baseline,1001.73,436.839,69.97,79.528,27.67,34.459,334.29,144.776,0.93,0.255,0.00396,0.01912,0.79219
10,20,10,10,100,89.97,1274.46,OBTEA,97.4,260.396,15.66,11.135,0.88,0.327,322.56,111.412,33.15,85.898,0.04665,0.12776,9.33028
11,20,10,10,100,89.97,1274.46,Baseline,973.67,509.199,90.14,130.34,29.82,33.093,324.97,168.729,0.88,0.325,0.00195,0.00091,0.39009
