,literals_num,depth,iters,state,act,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,plan_time_avg,plan_time_std,plan_time_total
0,10,10,10,26.5,31.0,27.0,8.485,19.0,0.0,18.5,23.335,0.0015,0.0005,0.006
1,10,10,10,26.5,31.0,26.0,4.243,12.5,2.121,59.5,34.648,0.0,0.0,0.0
2,10,10,100,97.0,120.0,90.0,21.213,19.5,12.021,1.0,0.0,0.00728,0.00128,0.02911
3,10,10,100,97.0,120.0,147.5,65.761,18.5,10.607,43.0,19.799,0.0005,0.0005,0.002
4,10,10,1000,504.5,1020.0,12.0,9.899,7.0,5.657,0.5,0.707,0.02051,0.0045,0.08202
5,10,10,1000,504.5,1020.0,406.0,574.171,6.0,7.071,49.5,70.004,0.001,0.001,0.004
6,100,10,10,31.0,32.0,246.5,23.335,395.0,263.044,269.0,39.598,0.02301,0.001,0.09203
7,100,10,10,31.0,32.0,246.0,49.497,254.5,214.253,269.0,39.598,0.01851,0.0045,0.07402
8,100,10,1000,972.5,1020.0,393.5,522.552,235.0,312.541,18.0,24.042,0.48268,0.43367,1.93073
9,100,10,1000,972.5,1020.0,355.0,142.836,135.5,82.731,66.0,91.924,0.012,0.006,0.04801
10,10,50,10,117.5,152.0,41.5,14.849,15.5,2.121,11.0,4.243,0.006,0.002,0.02401
11,10,50,10,117.5,152.0,153.5,40.305,18.5,2.121,59.5,24.749,0.0005,0.0005,0.002
12,10,50,100,150.0,200.0,26.0,11.314,13.5,7.778,1.0,0.0,0.0035,0.0005,0.014
13,10,50,100,150.0,200.0,116.0,4.243,18.5,6.364,37.5,6.364,0.0005,0.0005,0.002
14,10,50,1000,520.5,1100.0,43.0,4.243,11.0,0.0,1.0,0.0,0.02601,0.001,0.10403
15,10,50,1000,520.5,1100.0,830.0,203.647,11.0,0.0,55.0,42.426,0.002,0.0,0.008
16,100,50,10,151.0,152.0,242.5,263.751,330.0,353.553,77.5,33.234,0.05852,0.04451,0.23406
17,100,50,10,151.0,152.0,347.5,396.687,272.0,289.914,127.5,84.146,0.03351,0.02951,0.13404
18,100,50,1000,1097.0,1100.0,222.0,97.581,105.5,91.217,1.5,0.707,0.25236,0.06873,1.00942
19,100,50,1000,1097.0,1100.0,327.0,332.34,163.5,181.726,36.0,49.497,0.017,0.011,0.06802
