,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,ticks_avg,wm_cond_ticks,cond_tick_avg,cost_avg,step_avg,expand_num_avg,plan_time_avg,plan_time_total
0,10,300,50,50.0,5,15000.0,13550.712,7560.888,OBTEA,0.0,382.831,2577.159,892.785,82.546,3.516,73.819,1.4929,2985.8033
1,10,300,50,50.0,5,15000.0,13550.712,7560.888,Baseline,242.892,276.286,0.0,1302.383,164.248,3.342,77.08,0.31524,630.481
