,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,step_avg,step_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,5,100,10,10,21.0,80.15,OBTEA,148.1,168.652,323.9,340.663,90.35,73.142,90.35,73.142,5.05,2.397,34.7,36.95,0.0142,0.01553,0.56815
1,5,100,10,10,21.0,80.15,Baseline,285.2,271.608,395.9,465.504,225.95,156.985,225.95,156.985,4.95,2.539,12.4,14.613,0.01583,0.02082,0.63327
2,5,200,10,10,21.0,79.2,OBTEA,166.4,83.223,459.3,277.403,160.25,84.614,160.25,84.614,8.3,2.472,39.2,18.761,0.02936,0.017,1.17433
3,5,200,10,10,21.0,79.2,Baseline,218.25,163.057,412.95,305.441,382.25,155.619,382.25,155.619,8.2,2.676,13.85,12.507,0.02221,0.02463,0.88846
4,5,300,10,10,21.0,77.8,OBTEA,149.15,139.917,363.05,285.634,147.75,110.239,147.75,110.239,7.15,3.539,35.35,31.288,0.03557,0.03516,1.42261
5,5,300,10,10,21.0,77.8,Baseline,178.9,148.203,322.1,236.872,347.0,232.649,347.0,232.649,7.15,3.539,10.05,6.953,0.02321,0.03038,0.92826
6,5,500,10,10,21.0,79.15,OBTEA,189.3,103.308,533.1,355.061,207.8,98.07,207.8,98.07,8.65,2.535,44.95,23.532,0.0683,0.04236,2.73203
7,5,500,10,10,21.0,79.15,Baseline,210.4,131.706,444.4,503.844,470.55,189.013,470.55,189.013,8.6,2.653,12.45,5.861,0.03799,0.0268,1.51948
8,5,900,10,10,21.0,82.4,OBTEA,173.6,67.57,507.15,332.098,189.4,65.628,189.4,65.628,9.85,0.357,40.4,16.036,0.11212,0.0416,4.48472
9,5,900,10,10,21.0,82.4,Baseline,177.85,64.693,358.45,138.132,491.1,68.956,491.1,68.956,9.85,0.357,11.55,3.694,0.05347,0.02637,2.13877
10,5,1000,10,10,21.0,77.75,OBTEA,184.2,92.006,612.45,338.346,228.9,46.405,228.9,46.405,9.9,0.3,43.05,20.851,0.14057,0.0737,5.62266
11,5,1000,10,10,21.0,77.75,Baseline,177.9,109.609,438.25,419.425,474.55,102.497,474.55,102.497,9.9,0.3,11.9,3.632,0.06552,0.04027,2.62073
