,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,ticks_avg,wm_cond_ticks,cond_tick_avg,cost_avg,step_avg,expand_num_avg,plan_time_avg,plan_time_total
0,10,100,50,30.0,5,4999.999,2495.997,1527.44,OBTEA,0.0,471.399,3111.278,1147.938,97.673,3.973,71.21,0.26241,524.81699
1,10,100,50,30.0,5,4999.999,2495.997,1527.44,Baseline,202.099,288.256,0.0,1391.884,189.436,3.856,64.124,0.0561,112.1911
