,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cond_tick_avg,cond_tick_std,wm_cond_tick_avg,wm_cond_tick_std,cost_avg,cost_std,step_avg,step_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,10,100,10,10.0,5,995.058,466.107,527.256,OBTEA,22.278,60.384,34.341,68.761,54.706,146.318,28.532,45.897,26.114,30.608,1.545,1.09,8.094,20.095,0.00354,0.00934,7.08359
1,10,100,10,10.0,5,995.058,466.107,527.256,Baseline,67.184,69.378,43.039,122.137,0.0,0.0,54.019,183.587,71.657,62.511,1.425,1.026,22.449,22.362,0.00206,0.00388,4.11293
