,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cond_tick_avg,cond_tick_std,wm_cond_tick_avg,wm_cond_tick_std,cost_avg,cost_std,step_avg,step_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,10,100,30,10.0,5,2984.408,501.032,530.427,OBTEA,119.272,260.689,255.085,644.196,1005.143,2675.198,358.189,729.263,81.124,69.029,3.376,2.191,40.222,86.819,0.03809,0.11606,76.17118
1,10,100,30,10.0,5,2984.408,501.032,530.427,Baseline,136.216,150.261,194.605,487.731,0.0,0.0,597.145,1580.933,170.94,124.32,3.335,2.211,43.98,48.066,0.01181,0.01555,23.62331
