,depth,obj_num,cond_pred,act_pred,max_copy_times,literals_obj_count,state_avg,act_avg,btalgorithm,tree_size_avg,ticks_avg,wm_cond_ticks,cond_tick_avg,cost_avg,step_avg,expand_num_avg,plan_time_avg,plan_time_total
0,10,500,50,50.0,5,25000.0,22427.877,12514.209,OBTEA,0.0,393.348,2581.188,909.768,82.705,3.527,75.822,2.60924,5218.47301
1,10,500,50,50.0,5,25000.0,22427.877,12514.209,Baseline,250.694,306.653,0.0,1436.642,165.935,3.321,79.464,0.55127,1102.54956
